Question Number,Question
1,什么是电磁场？
2,电场的定义是什么？
3,磁场的定义是什么？
4,电场强度如何定义？
5,磁感应强度如何定义？
6,库仑定律的内容是什么？
7,高斯定理在电场中的应用是什么？
8,环路定理在电场中的应用是什么？
9,安培环路定律的内容是什么？
10,毕奥-萨伐尔定律的内容是什么？
11,磁通量的定义是什么？
12,法拉第电磁感应定律的内容是什么？
13,楞次定律的内容是什么？
14,什么是自感现象？
15,什么是互感现象？
16,什么是位移电流？
17,麦克斯韦方程组的积分形式是什么？
18,麦克斯韦方程组的微分形式是什么？
19,电磁波是如何产生的？
20,电磁波的传播速度是多少？
21,电磁波的波长、频率和速度之间的关系是什么？
22,什么是电磁波的极化？
23,电磁波的能量密度如何计算？
24,电磁波的动量密度如何计算？
25,坡印廷矢量的定义是什么？
26,坡印廷定理的内容是什么？
27,什么是电磁波的辐射？
28,什么是电磁波的散射？
29,什么是电磁波的衍射？
30,什么是电磁波的干涉？
31,什么是电磁波的折射？
32,什么是电磁波的反射？
33,什么是电磁波的透射？
34,什么是电磁波的吸收？
35,什么是电磁频谱？
36,无线电波的特点是什么？
37,微波的特点是什么？
38,红外线的特点是什么？
39,可见光的特点是什么？
40,紫外线的特点是什么？
41,X射线的特点是什么？
42,γ射线的特点是什么？
43,什么是静电场？
44,什么是恒定电场？
45,什么是时变电场？
46,什么是静磁场？
47,什么是恒定磁场？
48,什么是时变磁场？
49,什么是电偶极子？
50,什么是磁偶极子？
51,什么是电容？
52,什么是电感？
53,什么是电阻？
54,什么是阻抗？
55,什么是导纳？
56,什么是电导率？
57,什么是磁导率？
58,什么是介电常数？
59,什么是损耗角正切？
60,什么是边界条件？
61,电场边界条件的公式是什么？
62,磁场边界条件的公式是什么？
63,什么是导体？
64,什么是绝缘体？
65,什么是半导体？
66,什么是超导体？
67,什么是电介质？
68,什么是磁介质？
69,什么是极化强度？
70,什么是磁化强度？
71,什么是电位？
72,什么是磁矢位？
73,什么是磁标位？
74,什么是电场的能量？
75,什么是磁场的能量？
76,什么是电磁场的能量？
77,什么是洛伦兹力？
78,什么是安培力？
79,什么是电磁感应电动势？
80,什么是动生电动势？
81,什么是感生电动势？
82,什么是涡流？
83,什么是趋肤效应？
84,什么是等离子体？
85,什么是电磁屏蔽？
86,什么是电磁兼容？
87,什么是天线？
88,什么是波导？
89,什么是谐振腔？
90,什么是传输线？
91,什么是微带线？
92,什么是同轴电缆？
93,什么是光纤？
94,什么是反射系数？
95,什么是透射系数？
96,什么是驻波比？
97,什么是阻抗匹配？
98,什么是史密斯圆图？
99,什么是散射参数？
100,什么是有限元法？
101,什么是时域有限差分法？
102,什么是矩量法？
103,电磁场数值计算有哪些常用方法？
104,什么是电磁波的传播常数？
